"","Rank","District","PriceScore","DownloadScore","CrimeCountScore","SchoolScore","OverallScore"
"1",1,"LIVERPOOL",9.15697994312432,8.4510593220339,8.6981535088952,9.634375,8.98514194351335
"2",2,"MANCHESTER",8.89393782132704,8.32585978835979,9.18693129425683,9.290625,8.92433847598592
"3",3,"BOLTON",9.21037896699584,8.92764857881137,9.14279624893436,6.35,8.40770594868539
"4",4,"TAMESIDE",9.26292592536635,8.10572289156626,9.02841310437218,6.26875,8.1664529803262
"5",5,"OLDHAM",9.28698708251309,8.25669191919192,9.12646797849575,5.709375,8.09488049505019
